left_shoulder_x,right_shoulder_x,left_shoulder_z,right_shoulder_z
7.319049835205078125e-01,3.241005539894104004e-01,-5.538511276245117188e-01,-5.166959166526794434e-01
7.327806949615478516e-01,3.218435943126678467e-01,-5.482842922210693359e-01,-5.162605047225952148e-01
7.333472371101379395e-01,3.214296102523803711e-01,-5.466619729995727539e-01,-4.834709167480468750e-01
7.339155077934265137e-01,3.219136297702789307e-01,-5.510209202766418457e-01,-5.051962733268737793e-01
7.338991165161132812e-01,3.240508735179901123e-01,-5.497795343399047852e-01,-5.109371542930603027e-01
7.338239550590515137e-01,3.254757821559906006e-01,-5.342162847518920898e-01,-5.090789198875427246e-01
7.337215542793273926e-01,3.255397379398345947e-01,-5.337517857551574707e-01,-5.015760064125061035e-01
7.336875200271606445e-01,3.255000114440917969e-01,-5.002903342247009277e-01,-4.428537786006927490e-01
7.329127788543701172e-01,3.254568874835968018e-01,-4.544900953769683838e-01,-4.043588042259216309e-01
7.327176928520202637e-01,3.259215950965881348e-01,-4.706335365772247314e-01,-4.578693211078643799e-01
7.340996861457824707e-01,3.266347050666809082e-01,-4.752652347087860107e-01,-4.476843178272247314e-01
7.341041564941406250e-01,3.265020549297332764e-01,-5.319536328315734863e-01,-5.084881186485290527e-01
7.339680194854736328e-01,3.255984187126159668e-01,-5.367507934570312500e-01,-5.390170216560363770e-01
7.334434986114501953e-01,3.252415955066680908e-01,-5.200984477996826172e-01,-5.270415544509887695e-01
7.333430051803588867e-01,3.249740302562713623e-01,-5.146420001983642578e-01,-5.234788656234741211e-01
7.324004769325256348e-01,3.240002989768981934e-01,-5.141910314559936523e-01,-5.194770097732543945e-01
7.328456640243530273e-01,3.233845531940460205e-01,-5.343916416168212891e-01,-5.289377570152282715e-01
7.329623103141784668e-01,3.234048187732696533e-01,-4.867599904537200928e-01,-4.762930870056152344e-01
7.315064668655395508e-01,3.249822556972503662e-01,-4.535579383373260498e-01,-4.497545063495635986e-01
7.296932935714721680e-01,3.268804252147674561e-01,-4.417981505393981934e-01,-4.283502399921417236e-01
7.294235229492187500e-01,3.274184167385101318e-01,-4.412677884101867676e-01,-4.170497059822082520e-01
7.293227910995483398e-01,3.283270597457885742e-01,-4.496004879474639893e-01,-4.221105575561523438e-01
